id,codigo_municipio,codigo_estado,nombre_municipio
sat_municipio_535,019,SON,Cananea
sat_municipio_536,019,TAM,Llera
sat_municipio_537,019,TLA,Tepetitla de Lardizábal
sat_municipio_538,019,VER,Astacinga
sat_municipio_539,019,YUC,Chemax
sat_municipio_540,019,ZAC,Jalpa
sat_municipio_541,020,COA,Múzquiz
sat_municipio_542,020,CHH,Chínipas
sat_municipio_543,020,CHP,La Concordia
sat_municipio_544,020,DUR,Pánuco de Coronado
sat_municipio_545,020,GRO,Copanatoyac
sat_municipio_546,020,GUA,León
sat_municipio_547,020,HID,Eloxochitlán
sat_municipio_548,020,JAL,Cabo Corrientes
sat_municipio_549,020,MEX,Coacalco de Berriozábal
sat_municipio_550,020,MIC,Cuitzeo
sat_municipio_551,020,MOR,Tepoztlán
sat_municipio_552,020,NAY,Bahía de Banderas
sat_municipio_553,020,NLE,General Bravo
sat_municipio_554,020,OAX,Constancia del Rosario
sat_municipio_555,020,PUE,Atoyatempan
sat_municipio_556,020,SLP,Matehuala
sat_municipio_557,020,SON,Carbó
sat_municipio_558,020,TAM,Mainero
sat_municipio_559,020,TLA,Sanctórum de Lázaro Cárdenas
sat_municipio_560,020,VER,Atlahuilco
sat_municipio_561,020,YUC,Chicxulub Pueblo
sat_municipio_562,020,ZAC,Jerez
sat_municipio_563,021,COA,Nadadores
sat_municipio_564,021,CHH,Delicias
sat_municipio_565,021,CHP,Copainalá
sat_municipio_566,021,DUR,Peñón Blanco
sat_municipio_567,021,GRO,Coyuca de Benítez
sat_municipio_568,021,GUA,Moroleón
sat_municipio_569,021,HID,Emiliano Zapata
sat_municipio_570,021,JAL,Casimiro Castillo
sat_municipio_571,021,MEX,Coatepec Harinas
sat_municipio_572,021,MIC,Charapan
sat_municipio_573,021,MOR,Tetecala
sat_municipio_574,021,NLE,General Escobedo
sat_municipio_575,021,OAX,Cosolapa
sat_municipio_576,021,PUE,Atzala
sat_municipio_577,021,SLP,Mexquitic de Carmona
sat_municipio_578,021,SON,La Colorada
sat_municipio_579,021,TAM,El Mante
sat_municipio_580,021,TLA,Nanacamilpa de Mariano Arista
sat_municipio_581,021,VER,Atoyac
sat_municipio_582,021,YUC,Chichimilá
sat_municipio_583,021,ZAC,Jiménez del Teul
sat_municipio_584,022,COA,Nava
sat_municipio_585,022,CHH,Dr. Belisario Domínguez
sat_municipio_586,022,CHP,Chalchihuitán
sat_municipio_587,022,DUR,Poanas
sat_municipio_588,022,GRO,Coyuca de Catalán
sat_municipio_589,022,GUA,Ocampo
sat_municipio_590,022,HID,Epazoyucan
sat_municipio_591,022,JAL,Cihuatlán
sat_municipio_592,022,MEX,Cocotitlán
sat_municipio_593,022,MIC,Charo
sat_municipio_594,022,MOR,Tetela del Volcán
sat_municipio_595,022,NLE,General Terán
sat_municipio_596,022,OAX,Cosoltepec
sat_municipio_597,022,PUE,Atzitzihuacán
sat_municipio_598,022,SLP,Moctezuma
sat_municipio_599,022,SON,Cucurpe
sat_municipio_600,022,TAM,Matamoros
sat_municipio_601,022,TLA,Acuamanala de Miguel Hidalgo
sat_municipio_602,022,VER,Atzacan
sat_municipio_603,022,YUC,Chikindzonot
sat_municipio_604,022,ZAC,Juan Aldama
sat_municipio_605,023,COA,Ocampo
sat_municipio_606,023,CHH,Galeana
sat_municipio_607,023,CHP,Chamula
sat_municipio_608,023,DUR,Pueblo Nuevo
sat_municipio_609,023,GRO,Cuajinicuilapa
sat_municipio_610,023,GUA,Pénjamo
sat_municipio_611,023,HID,Francisco I. Madero
sat_municipio_612,023,JAL,Zapotlán el Grande
sat_municipio_613,023,MEX,Coyotepec
sat_municipio_614,023,MIC,Chavinda
sat_municipio_615,023,MOR,Tlalnepantla
sat_municipio_616,023,NLE,General Treviño
